aId	sId	orig	cent	au	title	incipit	irreg	nbLin	nbLg	lnNbr	lnTxt	met	rhys	rw	r1	r2	r3	r4	enj	ent
694n	s694n_2496	ame	19	Rubén Darío	LA FE	En medio del abismo de la duda	0	14	4	1	En medio del abismo de la duda	2 6 10	ABBA ABBA CDC DEE	duda	ABBA	ABBA	CDC	DEE	1	pb_adj_noun
694n	s694n_2496	ame	19	Rubén Darío	LA FE	En medio del abismo de la duda	0	14	4	2	lleno de oscuridad, de sombra vana	1 6 8 10	ABBA ABBA CDC DEE	vana	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2496	ame	19	Rubén Darío	LA FE	En medio del abismo de la duda	0	14	4	3	hay una estrella que reflejos mana	1 4 8 10	ABBA ABBA CDC DEE	mana	ABBA	ABBA	CDC	DEE	1	ex_subj_verb
694n	s694n_2496	ame	19	Rubén Darío	LA FE	En medio del abismo de la duda	0	14	4	4	sublime, sí, mas silenciosa, muda.	2 4 8 10	ABBA ABBA CDC DEE	muda	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2496	ame	19	Rubén Darío	LA FE	En medio del abismo de la duda	0	14	4	5	Ella, con su fulgor divino, escuda,	1 6 8 10	ABBA ABBA CDC DEE	escuda	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2496	ame	19	Rubén Darío	LA FE	En medio del abismo de la duda	0	14	4	6	alienta y guía a la conciencia humana,	2 4 8 10	ABBA ABBA CDC DEE	humana	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2496	ame	19	Rubén Darío	LA FE	En medio del abismo de la duda	0	14	4	7	cuando el genio del mal con furia insana	3 6 8 10	ABBA ABBA CDC DEE	insana	ABBA	ABBA	CDC	DEE	1	ex_subj_verb
694n	s694n_2496	ame	19	Rubén Darío	LA FE	En medio del abismo de la duda	0	14	4	8	golpéala feroz, con mano ruda.	2 6 8 10	ABBA ABBA CDC DEE	ruda	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2496	ame	19	Rubén Darío	LA FE	En medio del abismo de la duda	0	14	4	9	¿Esa estrella brotó del germen puro	1 3 6 8 10	ABBA ABBA CDC DEE	puro	ABBA	ABBA	CDC	DEE	1	pb_noun_prep
694n	s694n_2496	ame	19	Rubén Darío	LA FE	En medio del abismo de la duda	0	14	4	10	de la humana creación? ¿Bajó del cielo	3 6 8 10	ABBA ABBA CDC DEE	cielo	ABBA	ABBA	CDC	DEE	0	
