n	lnTxt	etiquetado	nbSyl	met	metNoExtra	lnTyp	match
filip	En su vida, la más emocionante	En su vida, la más emocionante	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
filip	fué la hora en que, inválido y maltrecho,	fué la   hora en que inválido y maltrecho	11	1 3 6 10	1 3 6 10	Endecasílabo melódico corto	1.0
filip	llegar sentía su postrer instante	llegar sentía su postrer instante	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
filip	bajo la paz de hospitalario techo.	bajo la paz de hospitalario techo.	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
filip	Todo el esfuerzo sólido y brillante	Todo el esfuerzo sólido y brillante	11	1 4 6 10	1 4 6 10	Endecasílabo sáfico corto pleno	1.0
filip	que puso en defender nuestro derecho,	que puso en defender nuestro derecho,	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
filip	sus luchas de escritor y laborante	sus luchas de escritor y laborante	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
filip	con él finaban en prestado lecho.	con él finaban en prestado lecho.	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
filip	Tuvo Rizal en su gloriosa muerte	Tuvo Rizal en su gloriosa muerte	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
filip	bello escenario; Del Pilar moría	bello escenario; Del Pilar moría	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
filip	— ¡oh trágicas crueldades de la suerte! —	— ¡oh trágicas crueldades de la suerte! —	11	1 2 6 10	2 6 10	Endecasílabo heroico puro	0.9
filip	tras la miseria que colmó su daño,	tras la miseria que colmó su daño,	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
filip	lejos de su familia en su agonía,	lejos de su familia en su agonía,	11	1 6 10	1 6 10	Endecasílabo enfático puro	1.0
filip	en un triste hospital y en suelo extraño.	en un triste hospital y en suelo extraño.	11	2 3 6 8 10	2 6 8 10	Endecasílabo heroico largo	0.9
filip	—Se los cirios al brillo tremulante.	—Se los cirios al brillo tremulante.	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
filip	Mi padre muerto en su ataúd yacía…	Mi padre muerto en su ataúd yacía…	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
filip	¡No era un sueño! Dos lágrimas veía	¡No era un sueño! Dos lágrimas veía	11	1 2 3 5 6 10	1 3 6 10	Endecasílabo melódico corto	0.8
filip	cuajadas en su lívido semblante.	cuajadas en su lívido semblante.	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
filip	Le enterraron. Lloroso y delirante,	Le enterraron. Lloroso y delirante,	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
filip	a lo profundo de la huesa fría	a lo profundo de la huesa fría	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
filip	yo le vi como un fardo que caía	yo le vi como un fardo que caía	11	1 3 5 6 10	1 3 6 10	Endecasílabo melódico corto	0.9
