n	lnTxt	etiquetado	nbSyl	met	metNoExtra	lnTyp	match
chocano	Entre las manos de mi madre anciana	Entre las manos de mi madre anciana	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
chocano	la cabellera de su nieto brilla,	la cabellera de su nieto brilla,	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
chocano	y es puñado de trigo, áurea gavilla,	y es puñado de trigo ár#a gavilla	11	1 3 6 7 10	1 3 6 10	Endecasílabo melódico corto	0.9
chocano	oro de sol robado a la mañana.	oro de sol robado a la mañana.	11	1 4 6 10	1 4 6 10	Endecasílabo sáfico corto pleno	1.0
chocano	Luce mi madre en tanto -espuma vana	Luce mi madre en tanto -espuma vana	11	1 4 6 8 10	1 4 6 8 10	Endecasílabo sáfico pleno	1.0
chocano	que la ola del tiempo echó a la orilla-	que la ola del tiempo echó a la orilla-	10	2 5 7 9	2 5 7 9	Decasílabo heroico no hemistiquial pleno	1.0
chocano	a modo de una hostia sin mancilla,	a modo de una hostia sin mancilla,	10	2 4 5 9	2 4 9	Decasílabo heroico hemistiquial puro	0.8888888888888888
chocano	su relumbrante cabellera cana	su relumbrante cabellera cana	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
chocano	Grupo de plata y oro que en derroches	Grupo de plata y oro que en derroches	10	1 4 5 9	1 4 9	Decasílabo sáfico corto	0.8888888888888888
chocano	cubren mi corazón de regocijo	cubren mi corazón de regocijo	11	1 6 10	1 6 10	Endecasílabo enfático puro	1.0
chocano	No importa nada que el rencor me ladre,	No importa nada que el rencor me ladre,	11	1 2 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	0.9
chocano	porque para mis días y mis noches,	porque para mis días y mis noches,	11	6 10	6 10	Endecasílabo vacío puro	1.0
chocano	tengo el sol en los bucles de mi hijo	tengo el sol en los bucles de mi hijo	10	1 3 6 9	1 3 6 9	Decasílabo dactílico pleno	1.0
chocano	y la luna en las canas de mi madre.	y la luna en las canas de mi madre.	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
chocano	Era una reina hispana No sé ni quien sería,	Era una reina hispana No sé ni quien sería,	14	1 2 4 6 8 9 13	-	Alejandrino	1.0
chocano	ni cual su egregio nombre, ni como su linaje:	ni cual su egregio nombre, ni como su linaje:	14	4 6 13	-	Alejandrino	1.0
chocano	sé apenas la elegancia con que de su carruaje	sé apenas la elegancia con que de su carruaje	14	1 2 6 13	-	Alejandrino	1.0
chocano	saltó, al oír a un niño que en un rincón gemía.	saltó, al oír a un niño que en un rincón gemía.	14	2 4 5 6 9 11 13	-	Alejandrino	1.0
chocano	Y dijo: -¿Por qué llora?- La tarde estaba fría;	Y dijo: -¿Por qué llora?- La tarde estaba fría;	14	2 5 6 9 11 13	-	Alejandrino	1.0
chocano	y el niño estaba hambriento La reina abrióse el traje;	y el niño estaba hambriento La reina abrióse el traje;	14	2 4 6 9 11 13	-	Alejandrino	1.0
chocano	y le dio el seno blanco por entre el blanco encaje,	y le dio el seno blanco por entre el blanco encaje,	14	3 4 6 11 13	-	Alejandrino	1.0
chocano	como lo hubiese hecho Santa Isabel de Hungría.	como lo hubiese hecho santa isabel de   hungría	14	4 5 7 10 13	-	Alejandrino	1.0
chocano	Es gloria de la estirpe la que le dio su pecho	Es gloria de la estirpe la que le dio su pecho	14	1 2 6 11 13	-	Alejandrino	1.0
chocano	a aquel hambriento niño que acaso sentiría	a aquel hambriento niño que acaso sentiría	14	2 4 6 9 13	-	Alejandrino	1.0
chocano	más tarde un misterioso dinástico derecho;	más tarde un misterioso dinástico derecho;	14	1 2 3 6 9 13	-	Alejandrino	1.0
chocano	y es gloria de la estirpe, porque es amor fecundo	y es gloria de la estirpe, porque es amor fecundo	14	1 2 6 9 11 13	-	Alejandrino	1.0
chocano	con que la reina al niño le dio su seno un día,	con que la reina al niño le dio su seno un día,	14	4 6 9 11 12 13	-	Alejandrino	1.0
chocano	¡fue el mismo con que España le dio su seno a un mundo!	¡fue el mismo con que España le dio su seno a un mundo!	14	1 2 6 9 11 12 13	-	Alejandrino	1.0
chocano	Enorme tronco que arrastró la ola,	enorme tronco que arrastró la   ola	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
chocano	yace el caimán varado en la ribera;	yace el caimán varado en la ribera;	11	1 4 6 10	1 4 6 10	Endecasílabo sáfico corto pleno	1.0
chocano	espinazo de abrupta cordillera,	espinazo de abrupta cordillera,	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
chocano	fauces de abismo y formidable cola.	fauces de abismo y formidable cola.	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
chocano	El sol le envuelve en fúlgida aureola,	El sol le envuelve en fúlgida aureola,	11	2 4 6 10	2 4 6 10	Endecasílabo heroico corto	1.0
chocano	y parece lucir cota y cimera,	y parece lucir cota y cimera,	11	3 6 7 10	3 6 10	Endecasílabo melódico puro	0.9
chocano	cual monstruo de metal que reverbera	cual monstruo de metal que reverbera	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
chocano	y que al reverberar se tornasola.	y que al reverberar se tornasola.	11	6 10	6 10	Endecasílabo vacío puro	1.0
chocano	Inmóvil como un ídolo sagrado,	Inmóvil como un ídolo sagrado,	11	2 5 6 10	2 6 10	Endecasílabo heroico puro	0.9
chocano	ceñido en mallas de compacto acero,	ceñido en mallas de compacto acero,	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
chocano	está ante el agua estático y sombrío,	está ante el agua estático y sombrío,	11	2 4 6 10	2 4 6 10	Endecasílabo heroico corto	1.0
chocano	a manera de un príncipe encantado	a manera de un príncipe encantado	11	3 5 6 10	3 6 10	Endecasílabo melódico puro	0.9
chocano	que vive eternamente prisionero	que vive eternamente prisionero	11	2 4 6 10	2 4 6 10	Endecasílabo heroico corto	1.0
chocano	en el palacio de cristal de un río	en el palacio de cristal de un río	11	4 8 9 10	4 8 10	Endecasílabo sáfico puro	0.9
chocano	Soy el cantor de América autóctono y salvaje:	soy el cantor de   américa   autóctono y salvaje	14	1 3 6 9 13	-	Alejandrino	1.0
chocano	mi lira tiene un alma, mi canto un ideal	mi lira tiene un alma, mi canto un ideal	14	2 4 5 6 9 10 13	-	Alejandrino	1.0
chocano	Mi verso no se mece colgado de un ramaje	Mi verso no se mece colgado de un ramaje	14	2 4 6 9 11 13	-	Alejandrino	1.0
chocano	con un vaivén pausado de hamaca tropical	con un vaivén pausado de hamaca tropical	14	2 4 6 9 13	-	Alejandrino	1.0
chocano	Cuando me siento inca, le rindo vasallaje	cuando me siento   inca le rindo vasallaje	14	4 6 9 13	-	Alejandrino	1.0
chocano	al Sol, que me da el centro de su poder real;	al Sol, que me da el centro de su poder real;	14	2 5 6 11 13	-	Alejandrino	1.0
chocano	cuando me siento hispano y evoco el coloniaje,	cuando me siento hispano y evoco el coloniaje,	14	4 6 9 13	-	Alejandrino	1.0
chocano	parecen mis estrofas trompetas de cristal.	parecen mis estrofas trompetas de cristal.	14	2 6 9 13	-	Alejandrino	1.0
chocano	Mi fantasía viene de un abolengo moro;	Mi fantasía viene de un abolengo moro;	14	4 6 8 11 13	-	Alejandrino	1.0
chocano	los Andes son de plata, pero León de oro	los andes son de plata pero león de   oro	14	2 4 6 11 13	-	Alejandrino	1.0
chocano	Y las dos castas fundo con épico fragor.	Y las dos castas fundo con épico fragor.	14	3 4 6 9 13	-	Alejandrino	1.0
chocano	La sangre es española e incaico es el latido;	La sangre es española e incaico es el latido;	14	2 3 6 9 10 13	-	Alejandrino	1.0
chocano	y de no ser Poeta, quizá yo hubiera sido	y de no ser Poeta, quizá yo hubiera sido	14	3 4 6 9 10 11 13	-	Alejandrino	1.0
chocano	un blanco aventurero o un indio emperador.	un blanco aventurero o un indio emperador.	14	1 2 6 8 9 13	-	Alejandrino	1.0
chocano	Al despuntar el estrellado coro,	Al despuntar el estrellado coro,	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
chocano	pósase en una cúspide nevada:	pósase en una cúspide nevada:	11	1 4 6 10	1 4 6 10	Endecasílabo sáfico corto pleno	1.0
chocano	lo envuelve el día en la postrer mirada;	lo envuelve el día en la postrer mirada;	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
chocano	y revienta a sus pies trueno sonoro.	y revienta a sus pies trueno sonoro.	11	3 6 7 10	3 6 10	Endecasílabo melódico puro	0.9
chocano	Su blanca gola es imperial decoro;	Su blanca gola es imperial decoro;	11	2 4 5 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	0.9
chocano	su ceño varonil, pomo de espada;	su ceño varonil, pomo de espada;	11	2 6 7 10	2 6 10	Endecasílabo heroico puro	0.9
chocano	sus garfios, siempre actitud airada,	sus garfios siempre   actitud airada	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
chocano	curvos puñales de marfil con oro.	curvos puñales de marfil con oro.	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
chocano	Solitario en la cúspide se siente:	Solitario en la cúspide se siente:	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
chocano	en las pálidas nieblas se confunde;	en las pálidas nieblas se confunde;	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
chocano	desvanece el fulgor de su aureola,	desvanece el fulgor de su aureola,	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
chocano	y esfumándose entonces lentamente,	y esfumándose entonces lentamente,	11	3 6 8 10	3 6 8 10	Endecasílabo melódico largo	1.0
chocano	se hunde en la noche como el alma se hunde	se hunde en la noche como el alma se hunde	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
chocano	en la meditación cuando está sola.	en la meditación cuando está sola.	11	6 9 10	6 10	Endecasílabo vacío puro	0.9
chocano	En el bosque de aromas y de músicas lleno,	En el bosque de aromas y de músicas lleno,	14	3 6 10 13	-	Alejandrino	1.0
chocano	la magnolia florece delicada y ligera,	la magnolia florece delicada y ligera,	14	3 6 10 13	-	Alejandrino	1.0
chocano	cual vellón que en la zarzas enredado estuviera	cual vellón que en la zarzas enredado estuviera	14	3 6 10 13	-	Alejandrino	1.0
chocano	o cual copo de espuma sobre lago sereno	o cual copo de espuma sobre lago sereno	14	3 6 10 13	-	Alejandrino	1.0
chocano	Es un ánfora digna de un artífice heleno,	Es un ánfora digna de un artífice heleno,	14	1 2 3 6 8 10 13	-	Alejandrino	1.0
chocano	un marmóreo prodigio de la clásica era;	un marmóreo prodigio de la clásica era;	14	1 3 7 11 13	-	Alejandrino	1.0
chocano	y destaca su fina redondez, a manera	y destaca su fina redondez, a manera	14	3 6 10 13	-	Alejandrino	1.0
chocano	de una dama que luce descotado su seno	de una dama que luce descotado su seno	14	1 3 6 10 13	-	Alejandrino	1.0
chocano	No se sabe si es perla, no se sabe si es llanto	No se sabe si es perla, no se sabe si es llanto	14	1 3 5 6 8 10 12 13	-	Alejandrino	1.0
chocano	Hay entre ella y la luna cierta historia de encanto	hay entre ella y la luna cierta historia de   encanto	14	1 2 5 7 9 13	-	Alejandrino	1.0
chocano	en la que una paloma pierde acaso la vida;	en la que una paloma pierde acaso la vida;	14	3 6 8 10 13	-	Alejandrino	1.0
chocano	porque es pura y es blanca y es graciosa y es leve	porque es pura y es blanca y es graciosa y es leve	11	2 3 4 5 6 8 9 10	2 4 6 8 10	Endecasílabo heroico pleno	0.7
chocano	como un rayo de luna que se cuaja en la nieve	como un rayo de luna que se cuaja en la nieve	14	2 3 6 10 13	-	Alejandrino	1.0
chocano	o como una paloma que se queda dormida.	o como una paloma que se queda dormida.	14	3 6 10 13	-	Alejandrino	1.0
chocano	Ánforas de cristal, airosas galas	Ánforas de cristal, airosas galas	11	1 6 8 10	1 6 8 10	Endecasílabo enfático pleno	1.0
chocano	de enigmáticas formas sorprendentes,	de enigmáticas formas sorprendentes,	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
chocano	diademas propias de apolíneas frentes,	diademas propias de apolínas frentes	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
chocano	adornos dignos de fastuosas galas	adornos dignos de fastuosas galas	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
